epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0394,2.52738,4.60913,2.2265,0.00311,0.93333,0.02666,0.01002,2.60158,5.13412,2.34213,0.00028,0.00028,0.00028
2,53.1359,1.96764,3.18334,1.75757,0.00333,1,0.62146,0.16901,1.80299,3.94085,1.55594,0.00055129,0.00055129,0.00055129
3,80.7446,1.85413,2.59126,1.66448,0.00333,1,0.62138,0.16355,1.8144,4.05046,1.49482,0.00079288,0.00079288,0.00079288
4,107.338,1.89255,2.3085,1.6106,0.00333,1,0.16962,0.09342,1.53761,3.82375,1.55289,0.00100477,0.00100477,0.00100477
5,133.463,1.91482,2.31057,1.68792,0.7393,0.19001,0.5439,0.25656,1.69855,3.61402,1.56184,0.00118696,0.00118696,0.00118696
6,160.059,1.90748,2.22696,1.65972,0.64461,0.56667,0.55512,0.22619,1.62196,3.34308,1.56109,0.00133945,0.00133945,0.00133945
7,186.778,1.78981,2.18232,1.61667,0.38738,0.76667,0.49377,0.19849,1.77225,3.06943,1.71579,0.001406,0.001406,0.001406
8,214.89,1.79676,1.97584,1.65505,0.78872,0.83333,0.88487,0.37054,1.9774,2.22222,1.9631,0.001307,0.001307,0.001307
9,243.88,1.83504,1.71896,1.56811,0.69642,0.86667,0.78121,0.36349,1.74759,2.28514,1.77753,0.001208,0.001208,0.001208
10,270.85,1.85026,1.77443,1.61482,0.82127,0.83333,0.85316,0.37946,1.9008,1.9398,1.86996,0.001109,0.001109,0.001109
11,299.477,1.78266,2.01704,1.67511,0.77596,0.83333,0.85025,0.37032,1.90871,2.12502,1.79664,0.00101,0.00101,0.00101
12,326.282,1.7388,1.91566,1.66487,0.82182,0.92267,0.92319,0.44861,1.64166,1.95049,1.64573,0.000911,0.000911,0.000911
13,354.358,1.59664,1.79803,1.62336,0.935,0.96667,0.96852,0.46761,1.67088,1.89083,1.67039,0.000812,0.000812,0.000812
14,382.142,1.66515,1.80374,1.63929,0.93542,0.96573,0.96935,0.4772,1.65274,1.85464,1.66282,0.000713,0.000713,0.000713
15,409.504,1.63929,1.746,1.58221,0.89569,0.96667,0.95005,0.49203,1.67434,1.82376,1.66889,0.000614,0.000614,0.000614
16,436.824,1.60379,1.61797,1.58944,0.89505,1,0.98484,0.49693,1.60328,1.72616,1.60274,0.000515,0.000515,0.000515
17,463.715,1.59482,1.58309,1.52865,0.84113,0.88269,0.88982,0.44261,1.71179,1.68481,1.65155,0.000416,0.000416,0.000416
18,490.934,1.52652,1.55258,1.52919,0.88389,0.93333,0.95702,0.46322,1.67082,1.62172,1.62041,0.000317,0.000317,0.000317
19,516.241,1.66058,1.54601,1.57284,0.91142,0.9,0.9634,0.48948,1.63799,1.59052,1.61558,0.000218,0.000218,0.000218
20,540.879,1.54391,1.50789,1.53869,0.90298,0.93083,0.96379,0.48131,1.64242,1.57992,1.61039,0.000119,0.000119,0.000119
